,x,RGB,Greedy,Mikasense
0,1.0,0.0998272057019411,0.14296168373732562,0.13720042639909186
1,0.875,0.11244362645330028,0.16372759155573002,0.14976675399690634
2,0.75,0.12368568655325053,0.17901665972395892,0.16892890434594274
3,0.625,0.13998935567150878,0.20607782864042926,0.20318093513334437
4,0.5,0.17339169507924013,0.24136335194023045,0.22681884546148925
5,0.375,0.21747877177914957,0.3075895435242342,0.2853101063633766
6,0.25,0.3059296635425487,0.40791201717926623,0.36438233109130197
7,0.125,0.4565822799270809,0.5889419245696532,0.5032834261526957
8,0.0,0.9999999999999998,1.0,0.9999999999999998
