x,RGB,Greedy,Mikasense
0.0,0.9999999999999998,1.0,0.9999999999999998
0.125,0.4565822799270809,0.5889419245696532,0.5032834261526957
0.25,0.3059296635425487,0.4079120171792662,0.3643823310913019
0.375,0.2174787717791495,0.3075895435242342,0.2853101063633766
0.5,0.1733916950792401,0.2413633519402304,0.2268188454614892
0.625,0.1399893556715087,0.2060778286404292,0.2031809351333443
0.75,0.1236856865532505,0.1790166597239589,0.1689289043459427
0.875,0.1124436264533002,0.16372759155573,0.1497667539969063
1.0,0.0998272057019411,0.1429616837373256,0.1372004263990918
