,x,RGB,Greedy,Mikasense
0,3.875,0.1805196788016119,0.1767868309881151,0.17719497309140425
1,3.75,0.17984651313935832,0.1768016164713925,0.17713080688246022
2,3.625,0.18002867743970047,0.17628296218569828,0.17710879054106268
3,3.5,0.1786880523118474,0.17637443205672737,0.1756584164781963
4,3.375,0.17879896958564925,0.17528570061303916,0.17558128467832096
5,3.25,0.17884274932963412,0.17549781536463546,0.17562425264497716
6,3.125,0.17776754690344457,0.17432886277079407,0.1752558720056277
7,3.0,0.1780408167420322,0.17312918586969428,0.17471484407544252
8,2.875,0.17749641688299345,0.17327526893889056,0.1743336772099297
9,2.75,0.1763228666314732,0.17297731717040515,0.17294568525293663
10,2.625,0.17628712092190607,0.17188435491269582,0.17267472398780395
11,2.5,0.17582962787711864,0.17100253414050634,0.17213240307441943
12,2.375,0.17579173494942174,0.17074711053254366,0.1705905455753582
13,2.25,0.17427785268314525,0.17002334142718903,0.17002498672907468
14,2.125,0.17363995768277765,0.1686862272525107,0.1694040330022728
15,2.0,0.17351516899094208,0.1673550493741651,0.16854575393219456
16,1.875,0.17204533540572842,0.16594913724723087,0.1676039562226029
17,1.75,0.1709085186570824,0.16395534463806044,0.16509760007613253
18,1.625,0.16957512076745648,0.16271984348695506,0.16434111190999603
19,1.5,0.1689283174151173,0.1607812945307217,0.16174465666560398
20,1.375,0.1669757180727848,0.15854213325642352,0.15968525855723686
21,1.25,0.1648133105867329,0.15584721115022576,0.15723080445408194
22,1.125,0.16250993035727423,0.15319679615882623,0.15384610392065723
23,1.0,0.15959117559519315,0.14838196710065985,0.15043737086104833
24,0.875,0.15504161706547687,0.1435040676189008,0.1468059265982348
25,0.75,0.15058448022845952,0.13817148378277067,0.13998112881054958
26,0.625,0.144376692655685,0.1290289518471924,0.13239363119230604
27,0.5,0.13607459530743266,0.11839505495476065,0.12343493362295671
28,0.375,0.12269027114450957,0.10276146613276364,0.11147032057379856
29,0.25,0.10533253403589882,0.08169377614504485,0.09723761507027735
30,0.125,0.08243344290115961,0.05493587033384375,0.08064549306270967
31,0.0,1.969708951287882e-30,2.7835010966761844e-31,1.1329306009017248e-31
