x,RGB,Greedy,Mikasense
0.0,2.8748163686873834e-30,2.9917257089155327e-31,2.8472909779222e-31
0.25,0.1050319336203666,0.0779283557482596,0.090440358017343
0.5,0.1551648075584563,0.1278545267224204,0.13718671074577
0.75,0.1800872609619433,0.1523336693548993,0.1644519624449272
1.0,0.1918985125170698,0.1678826050550855,0.1825004880165602
1.25,0.1963366145369482,0.1799970118643698,0.1900300933665909
1.5,0.2004676809782218,0.1864709254497681,0.1954639910329693
1.75,0.2090003539900818,0.1964209007274453,0.2022403964067675
2.0,0.209997151324708,0.1931559695099866,0.2086918142768708
2.25,0.2095574691133742,0.1987342812313978,0.2086172021869769
2.5,0.2141026022873537,0.1982337444417555,0.2086837826307682
2.75,0.2243807335399262,0.20127969243338,0.214754775863767
3.0,0.2153298667652868,0.2006925015778482,0.2174028956911317
3.25,0.2174547567325111,0.2048445574772546,0.2188694874616102
3.5,0.2158601857522616,0.2088765896948008,0.2180081137486838
3.75,0.2208611941609321,0.2059987731016413,0.2199042845521626
