,x,RGB,Greedy,Mikasense
0,1.0,0.27375625010929683,0.39658904546649176,0.25583250853377254
1,0.875,0.2872022520250588,0.4134137415372945,0.27199713595413216
2,0.75,0.30257275664412786,0.44335443440785677,0.2888652254788761
3,0.625,0.3228839370176441,0.48123695360619756,0.3100925577246891
4,0.5,0.35105105639194223,0.5329245076297577,0.34119675227689866
5,0.375,0.4093999789484117,0.6121973030566785,0.38735117178292067
6,0.25,0.49186059367855295,0.7167693331863012,0.4324298959677499
7,0.125,0.655730200247256,0.859588507792131,0.5690240605141315
8,0.0,1.0,1.0,1.0000000000000002
