,x,RGB,Greedy,Mikasense
8,0.0,1.0,1.0,1.0000000000000002
7,0.125,0.655730200247256,0.859588507792131,0.5690240605141315
6,0.25,0.4918605936785529,0.7167693331863012,0.4324298959677499
5,0.375,0.4093999789484117,0.6121973030566785,0.3873511717829206
4,0.5,0.3510510563919422,0.5329245076297577,0.3411967522768986
3,0.625,0.3228839370176441,0.4812369536061975,0.3100925577246891
2,0.75,0.3025727566441278,0.4433544344078567,0.2888652254788761
1,0.875,0.2872022520250588,0.4134137415372945,0.2719971359541321
0,1.0,0.2737562501092968,0.3965890454664917,0.2558325085337725
