x,RGB,Greedy,Mikasense
0.0,0.3200000000000456,0.3200000000000456,0.3200000000000456
0.25,0.3580377303222976,0.3101417613269576,0.3688409413117614
0.5,0.3822317473263228,0.3118191568523571,0.389366771675008
0.75,0.3904892984183977,0.3266156128634997,0.395894283749538
1.0,0.3956489699294569,0.3443628083963878,0.3991452364766631
1.25,0.3983913574088289,0.3542000028646583,0.401993876161018
1.5,0.4012021696074137,0.3616941025818909,0.4033272407995737
1.75,0.4020187565072251,0.3694521729170425,0.4039776790225344
2.0,0.4033527318628708,0.3733558257790647,0.4047882746917631
2.25,0.403907128422138,0.3776799003064181,0.4053580870603336
2.5,0.4042287208239805,0.3795914667985025,0.4058390851220406
2.75,0.4042857010017538,0.3820057660620304,0.4062430861643158
3.0,0.4054776477589437,0.3844109672518684,0.4065530880926534
3.25,0.405577784191463,0.3866906933329436,0.406834548687831
3.5,0.4060236435499584,0.3886293104667765,0.4071592235495037
3.75,0.4063178422035279,0.3897515730952026,0.4069714692670351
