,x,RGB,Greedy,Mikasense
0,3.75,0.39813553458526024,0.3455477305540176,0.41800869309270183
1,3.5,0.3998844147099813,0.34102837856600343,0.39385257337059904
2,3.25,0.4022088762025262,0.3597558352275023,0.41743441736241416
3,3.0,0.39437425034815105,0.33808160006583104,0.4084190237181019
4,2.75,0.37346471949367294,0.3180434254545582,0.39370940997995546
5,2.5,0.39299999689482856,0.30895189952612245,0.3872951123407994
6,2.25,0.39119636084871756,0.30312959041731613,0.3889616330819364
7,2.0,0.39121043150388185,0.29024229379261374,0.4001536492914947
8,1.75,0.3799006080010875,0.2793505323182364,0.4027349157977861
9,1.5,0.37873654525889455,0.2607805317576668,0.38359583548586534
10,1.25,0.3833841593423612,0.24357341993592935,0.4015868706203134
11,1.0,0.3721851741541496,0.2008612004838296,0.38633738146108315
12,0.75,0.35495904678787404,0.16657971842668756,0.374562636308734
13,0.5,0.31237906411121846,0.08905372935497344,0.35242808048117147
14,0.25,0.23887817901302197,0.027472196548354873,0.28034188091043666
15,0.0,9.388908478887775e-35,7.029644297013411e-33,9.629649721936179e-33
